reviewerID,itemID,rating
1,1,5.0
1,2,5.0
2,3,3.0
2,4,5.0
1,5,5.0
1,6,3.0
1,7,5.0
1,8,5.0
1,9,4.0
1,10,4.0
1,11,5.0
1,12,2.0
1,13,5.0
1,14,5.0
1,15,4.0
1,16,5.0
1,17,5.0
1,18,5.0
1,19,3.0
1,20,5.0
1,21,2.0
1,22,5.0
1,23,5.0
1,24,5.0
1,25,4.0
1,26,2.0
1,27,5.0
1,28,2.0
1,29,5.0
1,30,3.0
1,31,5.0
1,32,5.0
1,33,5.0
1,34,5.0
3,35,5.0
3,36,5.0
3,37,4.0
3,38,4.0
3,39,5.0
3,40,5.0
3,41,5.0
3,42,5.0
1,43,5.0
1,44,5.0
1,45,5.0
1,46,5.0
1,47,1.0
1,48,5.0
1,49,5.0
1,50,5.0
1,51,5.0
1,52,4.0
1,53,5.0
1,54,5.0
1,55,5.0
1,56,5.0
1,57,5.0
1,58,5.0
1,59,5.0
1,60,4.0
1,61,2.0
1,62,5.0
4,63,5.0
4,64,5.0
4,65,5.0
4,66,5.0
4,67,5.0
4,68,5.0
4,69,4.0
5,70,4.0
5,71,5.0
5,72,1.0
5,73,1.0
5,74,1.0
5,75,1.0
5,76,2.0
5,77,4.0
5,78,5.0
1,79,5.0
1,80,5.0
1,81,3.0
1,82,5.0
1,83,5.0
1,84,5.0
1,85,5.0
1,86,2.0
1,87,5.0
1,88,5.0
1,89,2.0
1,90,5.0
1,91,4.0
1,92,5.0
1,93,5.0
1,94,5.0
1,95,3.0
1,96,4.0
1,97,5.0
1,98,5.0
1,99,1.0
1,100,5.0
1,101,4.0
1,102,2.0
1,103,4.0
1,104,5.0
1,105,4.0
1,106,4.0
1,107,3.0
1,108,5.0
5,109,5.0
5,110,4.0
5,111,4.0
5,112,5.0
5,113,5.0
5,114,5.0
5,115,3.0
5,116,4.0
5,117,1.0
5,118,3.0
4,119,1.0
4,120,1.0
4,121,1.0
4,122,1.0
4,123,2.0
4,124,1.0
4,125,5.0
4,126,1.0
4,127,3.0
4,128,1.0
1,129,5.0
1,130,5.0
1,131,3.0
1,132,5.0
1,133,5.0
1,134,2.0
1,135,4.0
1,136,5.0
1,137,4.0
1,138,5.0
3,139,1.0
3,140,1.0
3,141,2.0
3,142,5.0
3,143,5.0
3,144,5.0
3,145,5.0
3,146,5.0
3,147,4.0
3,148,4.0
5,149,1.0
5,150,5.0
5,151,5.0
5,152,2.0
5,153,4.0
5,154,5.0
5,155,5.0
5,156,3.0
5,157,5.0
5,158,3.0
6,159,5.0
6,160,5.0
6,161,4.0
6,162,5.0
1,163,3.0
1,164,4.0
1,165,4.0
1,166,1.0
1,167,5.0
1,168,3.0
1,169,1.0
1,170,4.0
1,171,5.0
1,172,5.0
5,173,5.0
5,174,5.0
5,175,3.0
5,176,1.0
5,177,5.0
5,178,5.0
5,179,5.0
5,180,5.0
5,181,4.0
5,182,1.0
